CAND_ID,degree_in,degree_in_raw,degree_out,degree_out_raw,pagerank,katz,"CANDIDATE NAME (Last, First)",chairs_next,chairs_now,total,negative,positive,absolute,PAC,SupPAC,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,cumulative_occurrence,24E,24A,total_24a_positive,total_24e_positive
H8NY26095,0.020737327188940093,9,0.027649769585253454,12,0.0017223230246488988,0.04471866394260436,"Lee, Christopher J.",0,0,752358,-3.502,755.86,759.362,198,0,REP,NY,2,0.0,0.0,0.0,0.0
H2IN06023,0.006912442396313364,3,0.0,0,0.001329875561967784,0.028223134383572438,"Burton, Dan",0,0,217198,-19.0,236.198,255.198,73,0,REP,IN,2,0.0,0.0,0.0,0.0
H0IL16085,0.002304147465437788,1,0.004608294930875576,2,0.0011213501124918898,0.0239886675648211,"Manzullo, Donald A.",0,0,426037,-3.0,429.037,432.037,122,0,REP,IL,2,0.0,0.0,0.0,0.0
H0WA02080,0.03917050691244239,17,0.002304147465437788,1,0.002269088480199492,0.059939803245843463,"Larsen, Rick",0,0,1673732,-9.0,1682.732,1691.732,241,2,DEM,WA,2,1.0,1.0,31.865,0.288
H0RI02139,0.03225806451612903,14,0.004608294930875576,2,0.015051873040646492,0.06691009278096355,"Langevin, James R.",0,0,425635,-12.0,437.635,449.635,100,0,DEM,RI,2,0.0,0.0,0.0,0.0
H0LA01087,0.0,0,0.020737327188940093,9,0.0010768418468660751,0.021172334093756684,"Scalise, ""Steve""",0,0,493523,-2.5,496.023,498.523,157,0,REP,LA,2,0.0,0.0,0.0,0.0
H2TX03126,0.0,0,0.020737327188940093,9,0.0010768418468660751,0.021172334093756684,"Sessions, Pete",0,0,993747,-28.9,1022.647,1051.547,255,0,REP,TX,2,0.0,0.0,0.0,0.0
H0CA49055,0.0,0,0.018433179723502304,8,0.0010768418468660751,0.021172334093756684,"Davis, Susan A.",0,0,246403,-14.0,260.403,274.403,86,0,DEM,CA,2,0.0,0.0,0.0,0.0
H0NY23081,0.12442396313364056,54,0.002304147465437788,1,0.08269316833557475,0.18079502685800553,"Owens, William L.",0,0,3322782,-12.0,3334.782,3346.782,180,1,DEM,NY,1,0.0,1.0,92.096,0.0
H6NC11172,0.02304147465437788,10,0.004608294930875576,2,0.0018047535516103475,0.044145915062731876,"Shuler, Heath",0,0,2093397,-32.0,2125.397,2157.397,206,1,DEM,NC,2,0.0,1.0,252.378,0.0
H6NC08111,0.06221198156682028,27,0.0,0,0.00764299331478936,0.0966110584505981,"Kissell, Larry",0,0,1372249,-17.25,1389.499,1406.749,165,0,DEM,NC,2,0.0,0.0,0.0,0.0
H2OH03067,0.002304147465437788,1,0.06912442396313365,30,0.0011886915778977786,0.026946581857360954,"Turner, Mike",0,0,327192,-7.0,334.192,341.192,108,0,REP,OH,2,0.0,0.0,0.0,0.0
H8NE02139,0.05069124423963134,22,0.0,0,0.0026863773278801694,0.08366966919757082,"Terry, Lee",0,0,1036316,-21.5,1057.816,1079.316,275,0,REP,NE,2,0.0,0.0,0.0,0.0
H2NM02126,0.0576036866359447,25,0.0,0,0.004301271264334633,0.08757930900717421,"Pearce, Steve",0,0,1471190,-9.15,1480.34,1489.49,116,2,REP,NM,1,0.0,2.0,251.389,0.0
H2TN05131,0.0,0,0.002304147465437788,1,0.0010768418468660751,0.021172334093756684,"Cooper, Jim",0,0,328537,-19.0,347.537,366.537,113,0,DEM,TN,2,0.0,0.0,0.0,0.0
H6GA05217,0.002304147465437788,1,0.006912442396313364,3,0.001992319429930976,0.023289567503132356,"Lewis, John",0,0,630619,-26.5,657.119,683.619,180,0,DEM,GA,2,0.0,0.0,0.0,0.0
H0MA04036,0.07142857142857142,31,0.009216589861751152,4,0.007112294882375086,0.09378654849051116,"Frank, Barney",1,1,1125213,-16.5,1141.713,1158.213,232,0,DEM,MA,2,0.0,0.0,0.0,0.0
H6NY25125,0.08064516129032258,35,0.0,0,0.008148897269656367,0.12741026099539002,"Maffei, Daniel B.",0,0,1730505,-25.0,1755.505,1780.505,311,2,DEM,NY,2,0.0,2.0,503.436,0.0
H8CT04172,0.04838709677419355,21,0.002304147465437788,1,0.005212230702642324,0.08774336032869935,"Himes, Jim",0,0,1251458,-19.0,1270.458,1289.458,248,0,DEM,CT,2,0.0,0.0,0.0,0.0
H4IN02101,0.06912442396313365,30,0.0,0,0.005901369387927015,0.09777108006566283,"Donnelly, Joe",0,0,2719674,-66.5,2786.174,2852.674,205,2,DEM,IN,2,1.0,1.0,152.719,255.4
H8MI09068,0.052995391705069124,23,0.0,0,0.0050281407645956944,0.09149728761999563,"Peters, Gary",0,0,3207100,-46.0,3253.1,3299.1,267,2,DEM,MI,2,1.0,1.0,0.026,37.28
H8NY20056,0.0,0,0.02534562211981567,11,0.0010768418468660751,0.021172334093756684,"Lowey, Nita M.",0,0,289142,-6.0,295.142,301.142,97,0,DEM,NY,2,0.0,0.0,0.0,0.0
H4TX09095,0.002304147465437788,1,0.018433179723502304,8,0.0011583662733279543,0.023757734626657662,"Green, Al",0,0,206010,-1.0,207.01,208.01,60,0,DEM,TX,2,0.0,0.0,0.0,0.0
H2SC02042,0.004608294930875576,2,0.09216589861751152,40,0.0025742858147787084,0.02691828857540029,"Clyburn, James E. ""Jim""",0,1,2037944,-30.793,2068.737,2099.53,428,0,DEM,SC,2,0.0,0.0,0.0,0.0
H2TX05121,0.002304147465437788,1,0.1497695852534562,65,0.001589672440333828,0.028756028789916076,"Hensarling, Jeb",1,0,678191,-19.5,697.691,717.191,205,0,REP,TX,2,0.0,0.0,0.0,0.0
H8CA44034,0.03686635944700461,16,0.0,0,0.0029252014835171713,0.06632285327986133,"Mack, Mary Bono",0,0,1107899,-14.5,1122.399,1136.899,264,0,REP,CA,2,0.0,0.0,0.0,0.0
H2PA11098,0.06221198156682028,27,0.0,0,0.004344006716111973,0.10578235346788412,"Barletta, Louis J. ",0,0,1095837,-1.0,1096.837,1097.837,96,0,REP,PA,1,0.0,0.0,0.0,0.0
H4TX10093,0.006912442396313364,3,0.013824884792626727,6,0.0012940859333559613,0.029233889198839572,"McCaul, Michael",0,0,191082,-6.0,197.082,203.082,61,0,REP,TX,2,0.0,0.0,0.0,0.0
H8CA34068,0.0,0,0.013824884792626727,6,0.0010768418468660751,0.021172334093756684,"Napolitano, Grace F.",0,0,234408,-9.2,243.608,252.808,72,0,DEM,CA,2,0.0,0.0,0.0,0.0
H2FL03056,0.01152073732718894,5,0.004608294930875576,2,0.002437826143585125,0.03380842946706577,"Brown, Corinne",0,0,377225,-27.6,404.825,432.425,95,0,DEM,FL,2,0.0,0.0,0.0,0.0
H6OH02086,0.0,0,0.016129032258064516,7,0.0010768418468660751,0.021172334093756684,"Schmidt, Jean",0,0,306136,-4.0,310.136,314.136,122,0,REP,OH,2,0.0,0.0,0.0,0.0
H8OH01043,0.08755760368663594,38,0.0,0,0.0071542767205463546,0.1168257310906025,"Chabot, Steve",0,0,964100,-4.0,968.1,972.1,220,0,REP,OH,1,0.0,0.0,0.0,0.0
H0OH08029,0.002304147465437788,1,0.17972350230414746,78,0.0010887080780739575,0.023524815659729647,"Boehner, John A.",1,1,2722164,-78.7,2800.864,2879.564,474,0,REP,OH,2,0.0,0.0,0.0,0.0
H8OH15076,0.04377880184331797,19,0.0,0,0.001982403376260456,0.06907009161022185,"Stivers, Steve",0,0,1226162,-14.0,1240.162,1254.162,296,0,REP,OH,1,0.0,0.0,0.0,0.0
H0OH12062,0.04608294930875576,20,0.004608294930875576,2,0.003569637049836227,0.07714868423918857,"Tiberi, Pat",0,0,2213496,-26.025,2239.521,2265.546,423,1,REP,OH,2,1.0,0.0,0.0,113.631
H2TX23082,0.004608294930875576,2,0.020737327188940093,9,0.0011971648075170646,0.025644378258774594,"Cuellar, Henry",0,0,528623,-7.5,536.123,543.623,170,0,DEM,TX,2,0.0,0.0,0.0,0.0
H2AZ07070,0.08064516129032258,35,0.0,0,0.005753688802170055,0.10250420044010292,"Grijalva, Raúl M.",0,0,1088467,-11.8,1100.267,1112.067,133,1,DEM,AZ,2,1.0,0.0,0.0,31.542
H2NY11017,0.006912442396313364,3,0.01152073732718894,5,0.0013344503128783654,0.02846763846396264,"Towns, Edolphus",0,1,745140,-22.5,767.64,790.14,220,0,DEM,NY,2,0.0,0.0,0.0,0.0
H2GA11149,0.0,0,0.07603686635944701,33,0.0010768418468660751,0.021172334093756684,"Gingrey, Phil",0,0,588920,-14.0,602.92,616.92,195,0,REP,GA,2,0.0,0.0,0.0,0.0
H8MD01094,0.029953917050691243,13,0.0,0,0.0015490889217500312,0.05475272376639848,"Harris, Andy",0,0,2477432,-18.0,2495.432,2513.432,114,1,REP,MD,1,0.0,1.0,406.805,0.0
H2PA18143,0.0,0,0.05069124423963134,22,0.0010768418468660751,0.021172334093756684,"Murphy, Tim",0,0,985545,-31.6,1017.145,1048.745,264,0,REP,PA,2,0.0,0.0,0.0,0.0
H4PA15087,0.04838709677419355,21,0.002304147465437788,1,0.0027263857684317492,0.08383058858372938,"Dent, Charles W.",0,0,1173685,-6.0,1179.685,1185.685,287,0,REP,PA,2,0.0,0.0,0.0,0.0
H8KS02090,0.02304147465437788,10,0.06451612903225806,28,0.0016256273066630608,0.048540776791475136,"Jenkins, Lynn ",0,0,659150,-33.0,692.15,725.15,220,0,REP,KS,2,0.0,0.0,0.0,0.0
H8FL16022,0.016129032258064516,7,0.029953917050691243,13,0.0015838717280439183,0.04053720632643695,"Rooney, Tom",0,0,511629,-8.822,520.451,529.273,174,0,REP,FL,2,0.0,0.0,0.0,0.0
H8NY21203,0.01152073732718894,5,0.027649769585253454,12,0.0023376598747138454,0.03218194782251016,"Tonko, Paul D.",0,0,453327,-6.5,459.827,466.327,146,0,DEM,NY,2,0.0,0.0,0.0,0.0
H0MO01066,0.002304147465437788,1,0.029953917050691243,13,0.0013037403911137365,0.02401909794015292,"Clay, Lacy",0,0,381874,-12.5,394.374,406.874,116,0,DEM,MO,2,0.0,0.0,0.0,0.0
H0MO00019,0.03456221198156682,15,0.0,0,0.0016910205336635878,0.05429923449478739,"Carnahan, Russ",0,0,1122784,-19.1,1141.884,1160.984,200,2,DEM,MO,2,1.0,1.0,28.629,3.001
H2OH09031,0.002304147465437788,1,0.03225806451612903,14,0.0010955250628469915,0.023289567503132356,"Kaptur, Marcy",0,0,394821,-5.2,400.021,405.221,102,0,DEM,OH,2,0.0,0.0,0.0,0.0
H4TX06117,0.002304147465437788,1,0.03225806451612903,14,0.001589672440333828,0.028756028789916076,"Barton, Joe L. ",0,1,477826,-14.5,492.326,506.826,140,0,REP,TX,2,0.0,0.0,0.0,0.0
H0NH02017,0.05069124423963134,22,0.0,0,0.004325048098193893,0.07835654504826382,"Bass, Charles ",0,0,2673081,-2.0,2675.081,2677.081,176,3,REP,NH,1,0.0,3.0,776.47,0.0
H6CO01141,0.002304147465437788,1,0.04608294930875576,20,0.001149797223771343,0.023757734626657662,"DeGette, Diana",0,0,465419,-5.591,471.01,476.601,142,0,DEM,CO,2,0.0,0.0,0.0,0.0
H8WI00018,0.004608294930875576,2,0.006912442396313364,3,0.0013337526066237641,0.027007659468996508,"Baldwin, Tammy",0,0,340181,-1.0,341.181,342.181,123,0,DEM,WI,2,0.0,0.0,0.0,0.0
H2PA09035,0.006912442396313364,3,0.02304147465437788,10,0.0014237471933443828,0.02856996321212431,"Shuster, Bill",0,0,473056,-7.0,480.056,487.056,155,0,REP,PA,2,0.0,0.0,0.0,0.0
H6CA09023,0.0,0,0.03917050691244239,17,0.0010768418468660751,0.021172334093756684,"Stark, Fortney Pete",0,0,430750,-39.0,469.75,508.75,120,0,DEM,CA,2,0.0,0.0,0.0,0.0
H6MD04183,0.018433179723502304,8,0.002304147465437788,1,0.0015501756247609324,0.03937320238244959,"Edwards, Donna",0,0,295888,-16.9,312.788,329.688,93,0,DEM,MD,2,0.0,0.0,0.0,0.0
H4CA11081,0.07834101382488479,34,0.002304147465437788,1,0.0070957550061330555,0.10249234914693628,"McNerney, Jerry",0,0,1518495,-24.8,1543.295,1568.095,197,1,DEM,CA,2,0.0,1.0,65.148,0.0
H2ME02097,0.004608294930875576,2,0.01152073732718894,5,0.0011971648075170646,0.025644378258774594,"Michaud, Michael H.",0,0,765413,-12.0,777.413,789.413,175,1,DEM,ME,2,0.0,1.0,84.919,0.0
H6NY19144,0.07834101382488479,34,0.004608294930875576,2,0.004198309988424814,0.10070885757893555,"Hall, John J.",0,0,1236506,-17.5,1254.006,1271.506,143,1,DEM,NY,2,1.0,0.0,0.0,72.5
H4TX10028,0.0,0,0.03456221198156682,15,0.0010768418468660751,0.021172334093756684,"Doggett, Lloyd",0,0,317550,-19.325,336.875,356.2,102,0,DEM,TX,2,0.0,0.0,0.0,0.0
H6AZ08038,0.08986175115207373,39,0.0,0,0.007900313422973084,0.11644314873560932,"Giffords, Gabrielle",0,0,1718275,-14.5,1732.775,1747.275,243,2,DEM,AZ,2,1.0,1.0,83.8,21.003
H8CT01046,0.0,0,0.11290322580645161,49,0.0010768418468660751,0.021172334093756684,"Larson, John B.",1,1,1022524,-52.5,1075.024,1127.524,280,0,DEM,CT,2,0.0,0.0,0.0,0.0
H8NM01224,0.05069124423963134,22,0.0,0,0.0037981069684830536,0.07960018823340781,"Heinrich, Martin T.",0,0,1724444,-18.6,1743.044,1761.644,113,1,DEM,NM,2,1.0,0.0,0.0,93.739
H6IA03144,0.041474654377880185,18,0.004608294930875576,2,0.005618777049648453,0.0656181858225612,"Boswell, Leonard L. ",0,0,987392,-18.0,1005.392,1023.392,221,0,DEM,IA,2,0.0,0.0,0.0,0.0
H8VA11062,0.08755760368663594,38,0.0,0,0.006397474883870865,0.11134230076616285,"Connolly, Gerald E. ""Gerry""",0,0,1082478,-8.25,1090.728,1098.978,218,0,DEM,VA,2,0.0,0.0,0.0,0.0
H0DE01017,0.03917050691244239,17,0.0,0,0.001963732699813303,0.059941773696229814,"Carney, John C., Jr.",0,0,627747,-6.5,634.247,640.747,137,0,DEM,DE,1,0.0,0.0,0.0,0.0
H8LA02054,0.04377880184331797,19,0.002304147465437788,1,0.0033378470741754515,0.06680157950866485,"Richmond, Cedric",0,0,571177,-1.65,572.827,574.477,98,0,DEM,LA,1,0.0,0.0,0.0,0.0
H2WA04090,0.002304147465437788,1,0.02534562211981567,11,0.0010951513985273731,0.023289567503132356,"Inslee, Jay",0,0,456806,-6.0,462.806,468.806,148,0,DEM,WA,2,0.0,0.0,0.0,0.0
H4FL14059,0.002304147465437788,1,0.016129032258064516,7,0.0011733769112213552,0.02404793633333589,"Mack, Connie",0,0,209021,-5.0,214.021,219.021,73,0,REP,FL,2,0.0,0.0,0.0,0.0
H8CO02137,0.004608294930875576,2,0.03686635944700461,16,0.0013730233997321527,0.02585400532900981,"Polis, Jared",0,0,13922,-44.5,58.422,102.922,23,0,DEM,CO,2,0.0,0.0,0.0,0.0
H6CA24048,0.0,0,0.08986175115207373,39,0.0010768418468660751,0.021172334093756684,"Waxman, Henry A.",1,1,1042529,-29.5,1072.029,1101.529,252,0,DEM,CA,2,0.0,0.0,0.0,0.0
H6TN09068,0.013824884792626727,6,0.013824884792626727,6,0.0026707619823765497,0.03584928527543804,"Cohen, Steve",0,0,468897,-13.5,482.397,495.897,128,0,DEM,TN,2,0.0,0.0,0.0,0.0
H4FL20023,0.004608294930875576,2,0.09907834101382489,43,0.0011950250904076349,0.02625294644199753,"Schultz, Debbie Wasserman",0,0,1033828,-16.5,1050.328,1066.828,250,0,DEM,FL,2,0.0,0.0,0.0,0.0
H2NY01067,0.08755760368663594,38,0.0,0,0.013385888937829328,0.1263991894552655,"Bishop, Timothy H.",0,0,1576463,-20.65,1597.113,1617.763,197,0,DEM,NY,2,0.0,0.0,0.0,0.0
H0NJ01066,0.0,0,0.02304147465437788,10,0.0010768418468660751,0.021172334093756684,"Andrews, Robert E.",0,0,552459,-10.5,562.959,573.459,145,0,DEM,NJ,2,0.0,0.0,0.0,0.0
H0PA07082,0.04377880184331797,19,0.0,0,0.004629747912883952,0.08174365541624953,"Meehan, Patrick  ",0,0,1872840,-23.5,1896.34,1919.84,235,0,REP,PA,1,0.0,0.0,0.0,0.0
H4TX19136,0.0,0,0.2119815668202765,92,0.0010768418468660751,0.021172334093756684,"Conaway, Mike",0,0,389172,-8.0,397.172,405.172,129,0,REP,TX,2,0.0,0.0,0.0,0.0
H0TN08246,0.04838709677419355,21,0.0,0,0.003802204986767308,0.08181055507181952,"Fincher, Stephen Lee",0,0,660092,-3.5,663.592,667.092,159,1,REP,TN,1,1.0,0.0,0.0,100.0
H4MI07103,0.06221198156682028,27,0.0,0,0.0031413530212774728,0.08738587343774218,"Walberg, Tim",0,0,4678532,-0.58,4679.112,4679.692,133,4,REP,MI,1,1.0,3.0,274.005,6.789
H2UT01094,0.0,0,0.006912442396313364,3,0.0010768418468660751,0.021172334093756684,"Bishop, Rob",0,0,158317,-3.0,161.317,164.317,61,0,REP,UT,2,0.0,0.0,0.0,0.0
H2MD05155,0.0,0,0.08755760368663594,38,0.0010768418468660751,0.021172334093756684,"Hoyer, Steny H.",1,1,2758639,-69.25,2827.889,2897.139,497,0,DEM,MD,2,0.0,0.0,0.0,0.0
H0TX04037,0.0,0,0.002304147465437788,1,0.0010768418468660751,0.021172334093756684,"Hall, Ralph M.",1,1,317263,-16.5,333.763,350.263,109,0,REP,TX,2,0.0,0.0,0.0,0.0
H8PA05071,0.004608294930875576,2,0.04377880184331797,19,0.001371787094510759,0.029063815266736626,"Thompson, Glenn",0,0,384940,-4.0,388.94,392.94,123,0,REP,PA,2,0.0,0.0,0.0,0.0
H2KY04071,0.0,0,0.03686635944700461,16,0.0010768418468660751,0.021172334093756684,"Davis, Geoff",0,0,906933,-12.0,918.933,930.933,241,0,REP,KY,2,0.0,0.0,0.0,0.0
H8CA05035,0.0,0,0.08064516129032258,35,0.0010768418468660751,0.021172334093756684,"Pelosi, Nancy",1,1,1855711,-33.0,1888.711,1921.711,254,2,DEM,CA,2,0.0,2.0,5.327,0.0
H0FL19080,0.01152073732718894,5,0.004608294930875576,2,0.001224114942319134,0.032841157823619245,"Deutch, Ted",0,0,532271,-14.5,546.771,561.271,111,0,DEM,FL,1,0.0,0.0,0.0,0.0
H8TX20077,0.0,0,0.002304147465437788,1,0.0010768418468660751,0.021172334093756684,"Gonzales, Charles A.",0,0,633090,-22.0,655.09,677.09,190,0,DEM,TX,2,0.0,0.0,0.0,0.0
H6CA46033,0.06451612903225806,28,0.002304147465437788,1,0.004397990120004218,0.08532262437401548,"Sanchez, Loretta",0,0,835872,-22.3,858.172,880.472,177,1,DEM,CA,2,1.0,0.0,0.0,5.426
H0CT03072,0.0,0,0.07373271889400922,32,0.0010768418468660751,0.021172334093756684,"DeLauro, Rosa L.",0,0,715687,-24.75,740.437,765.187,191,0,DEM,CT,2,0.0,0.0,0.0,0.0
H8NY09091,0.0,0,0.03917050691244239,17,0.0010768418468660751,0.021172334093756684,"Weiner, Anthony D.",0,0,229466,-16.5,245.966,262.466,84,0,DEM,NY,2,0.0,0.0,0.0,0.0
H8CA22089,0.0,0,0.009216589861751152,4,0.0010768418468660751,0.021172334093756684,"Capps, Lois",0,0,409057,-9.5,418.557,428.057,145,0,DEM,CA,2,0.0,0.0,0.0,0.0
H0CA10149,0.004608294930875576,2,0.01152073732718894,5,0.007338808105482055,0.03353880241769633,"Garamendi, John",0,0,573571,-3.0,576.571,579.571,122,0,DEM,CA,1,0.0,0.0,0.0,0.0
H8IN07184,0.002304147465437788,1,0.009216589861751152,4,0.0015345806383985257,0.023289567503132356,"Carson, Andre D.",0,0,385701,-22.5,408.201,430.701,117,0,DEM,IN,2,0.0,0.0,0.0,0.0
H6CA39020,0.0,0,0.08986175115207373,39,0.0010768418468660751,0.021172334093756684,"Royce, Ed",0,0,707607,-7.5,715.107,722.607,173,0,REP,CA,2,0.0,0.0,0.0,0.0
H2MI17023,0.002304147465437788,1,0.11981566820276497,52,0.0011257170209914458,0.023548107556422445,"Levin, Sander",1,1,1313415,-33.73,1347.145,1380.875,348,0,DEM,MI,2,0.0,0.0,0.0,0.0
H0MO02148,0.0,0,0.004608294930875576,2,0.0010768418468660751,0.021172334093756684,"Akin, Todd",0,0,270126,0.0,270.126,270.126,77,0,REP,MO,2,0.0,0.0,0.0,0.0
H8IL09067,0.002304147465437788,1,0.018433179723502304,8,0.0012048839947180572,0.023524815659729647,"Schakowsky, Janice D.",0,0,402104,-6.5,408.604,415.104,100,0,DEM,IL,2,0.0,0.0,0.0,0.0
H2NY26080,0.03456221198156682,15,0.002304147465437788,1,0.0022360236655463352,0.053649318807349446,"Hinchey, Maurice D.",0,0,1042294,-4.5,1046.794,1051.294,103,2,DEM,NY,2,1.0,1.0,533.584,35.987
H2NY00010,0.004608294930875576,2,0.004608294930875576,2,0.0012182499917727523,0.025665340965798117,"Velazquez, Nydia M.",1,1,565951,-36.0,601.951,637.951,160,0,DEM,NY,2,0.0,0.0,0.0,0.0
H6TX21012,0.0,0,0.04377880184331797,19,0.0010768418468660751,0.021172334093756684,"Smith, Lamar",1,1,618640,-18.25,636.89,655.14,181,0,REP,TX,2,0.0,0.0,0.0,0.0
H6MN06074,0.006912442396313364,3,0.06451612903225806,28,0.0012614027184831914,0.028101457587478947,"Bachmann, Michele",0,0,478706,-42.862,521.568,564.43,148,3,REP,MN,2,2.0,1.0,0.513,26.638
H2CA01045,0.0,0,0.013824884792626727,6,0.0010768418468660751,0.021172334093756684,"Woolsey, Lynn C.",0,0,276825,-13.5,290.325,303.825,83,0,DEM,CA,2,0.0,0.0,0.0,0.0
H6HI02251,0.006912442396313364,3,0.004608294930875576,2,0.001372200159032005,0.02850134027415201,"Hirono, Mazie",0,0,392693,-8.5,401.193,409.693,112,0,DEM,HI,2,0.0,0.0,0.0,0.0
H4GA08067,0.002304147465437788,1,0.16359447004608296,71,0.0011886915778977786,0.026946581857360954,"Westmoreland, Lynn",0,0,322347,-4.0,326.347,330.347,102,0,REP,GA,2,0.0,0.0,0.0,0.0
H0AR02107,0.04377880184331797,19,0.029953917050691243,13,0.002028043898767207,0.07108451203508256,"Griffin, Tim",0,0,466919,0.0,466.919,466.919,149,1,REP,AR,1,1.0,0.0,0.0,0.793
H0VA05095,0.08986175115207373,39,0.0,0,0.0044166226318870135,0.13997604705047487,"Hurt, Robert",0,0,1964210,-8.5,1972.71,1981.21,201,1,REP,VA,1,0.0,1.0,263.112,0.0
H4NY07011,0.0,0,0.041474654377880185,18,0.0010768418468660751,0.021172334093756684,"Ackerman, Gary L.",0,0,210201,-4.0,214.201,218.201,72,0,DEM,NY,2,0.0,0.0,0.0,0.0
H6MI16034,0.016129032258064516,7,0.002304147465437788,1,0.0013909778059048557,0.036230545305652936,"Dingell, John D.",0,0,1331278,-21.5,1352.778,1374.278,318,0,DEM,MI,2,0.0,0.0,0.0,0.0
H6CT05124,0.041474654377880185,18,0.013824884792626727,6,0.004002839900479427,0.06572220080458296,"Murphy, Chris",0,0,1107245,-19.5,1126.745,1146.245,234,1,DEM,CT,2,1.0,0.0,0.0,5.0
